"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
11230,946,1487,63.62,"20200405"
11231,169,351,48.15,"20200405"
11232,169,264,64.02,"20200405"
11233,356,576,61.81,"20200405"
11234,624,1079,57.83,"20200405"
11235,487,967,50.36,"20200405"
11236,728,1153,63.14,"20200405"
11237,274,408,67.16,"20200405"
11238,283,514,55.06,"20200405"
11239,157,228,68.86,"20200405"
11357,260,483,53.83,"20200405"
11355,365,588,62.07,"20200405"
11354,257,439,58.54,"20200405"
11356,177,331,53.47,"20200405"
11358,172,358,48.04,"20200405"
11360,97,230,42.17,"20200405"
11361,145,270,53.7,"20200405"
11362,91,211,43.13,"20200405"
11363,42,93,45.16,"20200405"
11364,164,312,52.56,"20200405"
11365,268,490,54.69,"20200405"
11366,176,282,62.41,"20200405"
11367,447,706,63.31,"20200405"
11368,1446,1861,77.7,"20200405"
11369,547,728,75.14,"20200405"
11370,573,1007,56.9,"20200405"
11372,806,1102,73.14,"20200405"
11373,983,1425,68.98,"20200405"
11374,479,784,61.1,"20200405"
11375,653,1203,54.28,"20200405"
11377,620,972,63.79,"20200405"
11378,232,412,56.31,"20200405"
11379,276,504,54.76,"20200405"
11385,668,1139,58.65,"20200405"
11411,271,368,73.64,"20200405"
11412,423,663,63.8,"20200405"
11413,460,725,63.45,"20200405"
11414,252,451,55.88,"20200405"
11415,205,343,59.77,"20200405"
11416,204,311,65.59,"20200405"
11417,254,418,60.77,"20200405"
11418,329,541,60.81,"20200405"
11419,318,529,60.11,"20200405"
11420,398,656,60.67,"20200405"
11421,323,508,63.58,"20200405"
11422,359,560,64.11,"20200405"
11423,273,426,64.08,"20200405"
11426,163,313,52.08,"20200405"
11427,272,459,59.26,"20200405"
11428,193,295,65.42,"20200405"
11434,635,952,66.7,"20200405"
11432,502,793,63.3,"20200405"
11433,262,408,64.22,"20200405"
11435,485,799,60.7,"20200405"
11436,160,240,66.67,"20200405"
11691,713,1071,66.57,"20200405"
11692,182,289,62.98,"20200405"
11693,131,214,61.21,"20200405"
11694,226,397,56.93,"20200405"
11697,34,80,42.5,"20200405"
NA,4712,4716,99.92,"20200406"
10001,158,337,46.88,"20200406"
10002,360,718,50.14,"20200406"
10003,210,490,42.86,"20200406"
10004,20,45,44.44,"20200406"
10005,29,96,30.21,"20200406"
10006,7,30,23.33,"20200406"
10007,29,81,35.8,"20200406"
10009,262,597,43.89,"20200406"
10010,121,349,34.67,"20200406"
10011,278,596,46.64,"20200406"
10012,85,226,37.61,"20200406"
10013,124,282,43.97,"20200406"
10014,178,373,47.72,"20200406"
10016,324,727,44.57,"20200406"
10017,65,187,34.76,"20200406"
10018,106,232,45.69,"20200406"
10019,244,560,43.57,"20200406"
10021,282,726,38.84,"20200406"
10022,159,422,37.68,"20200406"
10023,251,642,39.1,"20200406"
10024,283,782,36.19,"20200406"
10025,377,984,38.31,"20200406"
10026,197,413,47.7,"20200406"
10027,267,565,47.26,"20200406"
10028,237,595,39.83,"20200406"
10029,461,943,48.89,"20200406"
10030,164,289,56.75,"20200406"
10031,340,576,59.03,"20200406"
10032,448,757,59.18,"20200406"
10033,391,657,59.51,"20200406"
10034,178,366,48.63,"20200406"
10035,254,515,49.32,"20200406"
10036,160,355,45.07,"20200406"
10037,121,241,50.21,"20200406"
10038,101,219,46.12,"20200406"
10039,155,304,50.99,"20200406"
10040,294,487,60.37,"20200406"
10044,64,149,42.95,"20200406"
10065,171,492,34.76,"20200406"
10069,29,72,40.28,"20200406"
10075,204,452,45.13,"20200406"
10128,281,737,38.13,"20200406"
10280,20,61,32.79,"20200406"
10282,32,61,52.46,"20200406"
10301,278,501,55.49,"20200406"
10302,120,230,52.17,"20200406"
10303,174,353,49.29,"20200406"
10304,419,763,54.91,"20200406"
10305,298,652,45.71,"20200406"
10306,404,884,45.7,"20200406"
10307,109,217,50.23,"20200406"
10308,214,474,45.15,"20200406"
10309,246,522,47.13,"20200406"
10310,161,336,47.92,"20200406"
10312,462,916,50.44,"20200406"
10314,712,1408,50.57,"20200406"
10451,392,701,55.92,"20200406"
10452,584,942,62,"20200406"
10453,619,983,62.97,"20200406"
10454,294,498,59.04,"20200406"
10455,274,495,55.35,"20200406"
10456,619,1054,58.73,"20200406"
10457,533,879,60.64,"20200406"
10458,541,933,57.98,"20200406"
10459,363,618,58.74,"20200406"
10460,397,697,56.96,"20200406"
10461,536,993,53.98,"20200406"
10462,632,1160,54.48,"20200406"
10463,402,909,44.22,"20200406"
10464,35,95,36.84,"20200406"
10465,461,960,48.02,"20200406"
10466,588,1013,58.05,"20200406"
10467,941,1625,57.91,"20200406"
10468,625,939,66.56,"20200406"
10469,795,1304,60.97,"20200406"
10470,121,229,52.84,"20200406"
10471,149,375,39.73,"20200406"
10472,469,765,61.31,"20200406"
10473,518,887,58.4,"20200406"
10474,83,136,61.03,"20200406"
10475,424,705,60.14,"20200406"
11429,322,461,69.85,"20200406"
11004,200,316,63.29,"20200406"
11101,232,470,49.36,"20200406"
11102,186,352,52.84,"20200406"
11103,168,309,54.37,"20200406"
11104,160,277,57.76,"20200406"
11105,166,346,47.98,"20200406"
11106,206,399,51.63,"20200406"
11109,25,73,34.25,"20200406"
11201,259,601,43.09,"20200406"
11203,553,870,63.56,"20200406"
11204,789,1298,60.79,"20200406"
11205,270,462,58.44,"20200406"
11206,477,816,58.46,"20200406"
11207,554,911,60.81,"20200406"
11208,608,923,65.87,"20200406"
11209,348,718,48.47,"20200406"
11210,583,953,61.18,"20200406"
11211,859,1335,64.34,"20200406"
11212,469,758,61.87,"20200406"
11213,554,879,63.03,"20200406"
11214,403,796,50.63,"20200406"
11215,239,559,42.75,"20200406"
11216,240,445,53.93,"20200406"
11217,196,369,53.12,"20200406"
11218,574,975,58.87,"20200406"
11219,1136,1644,69.1,"20200406"
11220,455,748,60.83,"20200406"
11221,384,644,59.63,"20200406"
11222,148,333,44.44,"20200406"
11223,529,973,54.37,"20200406"
11224,235,446,52.69,"20200406"
11225,394,608,64.8,"20200406"
11226,553,887,62.34,"20200406"
11228,179,341,52.49,"20200406"
11229,470,890,52.81,"20200406"
11230,946,1487,63.62,"20200406"
11231,169,351,48.15,"20200406"
11232,169,264,64.02,"20200406"
11233,356,576,61.81,"20200406"
11234,624,1079,57.83,"20200406"
11235,487,967,50.36,"20200406"
11236,728,1153,63.14,"20200406"
11237,274,408,67.16,"20200406"
